service_date,call_volume
2022-06-16,1081
2022-06-17,1035
2022-06-18,785
2022-06-19,729
2022-06-20,1073
2022-06-21,1098
2022-06-22,1087
2022-06-23,1076
2022-06-24,1030
2022-06-25,780
2022-06-26,724
2022-06-27,1068
2022-06-28,1092
2022-06-29,1081
2022-06-30,1070
2022-07-01,1014
2022-07-02,763
2022-07-03,707
2022-07-04,180
2022-07-05,1075
2022-07-06,1064
2022-07-07,1052
2022-07-08,1006
2022-07-09,755
2022-07-10,699
2022-07-11,1043
2022-07-12,1066
2022-07-13,1055
2022-07-14,1044
2022-07-15,997
2022-07-16,746
2022-07-17,690
2022-07-18,1033
2022-07-19,1057
2022-07-20,1046
2022-07-21,1034
2022-07-22,988
2022-07-23,736
2022-07-24,680
2022-07-25,1023
2022-07-26,1047
2022-07-27,1035
2022-07-28,1024
2022-07-29,977
2022-07-30,726
2022-07-31,669
2022-08-01,1003
2022-08-02,1026
2022-08-03,1015
2022-08-04,1003
2022-08-05,957
2022-08-06,705
2022-08-07,648
2022-08-08,992
2022-08-09,1015
2022-08-10,1004
2022-08-11,992
2022-08-12,946
2022-08-13,694
2022-08-14,638
2022-08-15,981
2022-08-16,1005
2022-08-17,993
2022-08-18,982
2022-08-19,936
2022-08-20,684
2022-08-21,628
2022-08-22,971
2022-08-23,995
2022-08-24,984
2022-08-25,972
2022-08-26,926
2022-08-27,675
2022-08-28,619
2022-08-29,962
2022-08-30,986
2022-08-31,975
2022-09-01,949
2022-09-02,903
2022-09-03,652
2022-09-04,596
2022-09-05,700
2022-09-06,964
2022-09-07,953
2022-09-08,942
2022-09-09,896
2022-09-10,645
2022-09-11,590
2022-09-12,934
2022-09-13,958
2022-09-14,947
2022-09-15,937
2022-09-16,891
2022-09-17,641
2022-09-18,585
2022-09-19,930
2022-09-20,954
2022-09-21,944
2022-09-22,934
2022-09-23,888
2022-09-24,638
2022-09-25,583
2022-09-26,928
2022-09-27,953
2022-09-28,942
2022-09-29,932
2022-09-30,887
2022-10-01,658
2022-10-02,603
2022-10-03,948
2022-10-04,973
2022-10-05,963
2022-10-06,954
2022-10-07,909
2022-10-08,659
2022-10-09,605
2022-10-10,950
2022-10-11,976
2022-10-12,966
2022-10-13,957
2022-10-14,913
2022-10-15,663
2022-10-16,609
2022-10-17,955
2022-10-18,981
2022-10-19,971
2022-10-20,962
2022-10-21,918
2022-10-22,669
2022-10-23,615
2022-10-24,961
2022-10-25,987
2022-10-26,978
2022-10-27,970
2022-10-28,926
2022-10-29,677
2022-10-30,623
2022-10-31,970
2022-11-01,1046
2022-11-02,1037
2022-11-03,1029
2022-11-04,985
2022-11-05,736
2022-11-06,683
2022-11-07,1029
2022-11-08,1056
2022-11-09,1047
2022-11-10,1039
2022-11-11,995
2022-11-12,747
2022-11-13,694
2022-11-14,1040
2022-11-15,1067
2022-11-16,1058
2022-11-17,1050
2022-11-18,1007
2022-11-19,758
2022-11-20,705
2022-11-21,1052
2022-11-22,1078
2022-11-23,1070
2022-11-24,120
2022-11-25,1019
2022-11-26,770
2022-11-27,717
2022-11-28,1064
2022-11-29,1090
2022-11-30,1082
2022-12-01,1104
2022-12-02,1061
2022-12-03,812
2022-12-04,759
2022-12-05,1106
2022-12-06,1132
2022-12-07,1124
2022-12-08,1116
2022-12-09,1072
2022-12-10,824
2022-12-11,771
2022-12-12,1117
2022-12-13,1144
2022-12-14,1135
2022-12-15,1127
2022-12-16,1084
2022-12-17,835
2022-12-18,782
2022-12-19,1128
2022-12-20,1155
2022-12-21,1146
2022-12-22,1138
2022-12-23,1094
2022-12-24,845
2022-12-25,0
2022-12-26,1138
2022-12-27,1164
2022-12-28,1156
2022-12-29,1147
2022-12-30,1103
2022-12-31,854
2023-01-01,0
2023-01-02,1072
2023-01-03,1098
2023-01-04,1089
2023-01-05,1080
2023-01-06,1037
2023-01-07,788
2023-01-08,734
2023-01-09,1080
2023-01-10,1105
2023-01-11,1096
2023-01-12,1087
2023-01-13,1043
2023-01-14,794
2023-01-15,740
2023-01-16,1086
2023-01-17,1111
2023-01-18,1102
2023-01-19,1093
2023-01-20,1048
2023-01-21,799
2023-01-22,745
2023-01-23,1090
2023-01-24,1116
2023-01-25,1106
2023-01-26,1097
2023-01-27,1052
2023-01-28,803
2023-01-29,748
2023-01-30,1094
2023-01-31,1119
2023-02-01,1115
2023-02-02,1105
2023-02-03,1060
2023-02-04,811
2023-02-05,756
2023-02-06,1101
2023-02-07,1126
2023-02-08,1117
2023-02-09,1107
2023-02-10,1062
2023-02-11,812
2023-02-12,757
2023-02-13,1103
2023-02-14,1128
2023-02-15,1118
2023-02-16,1108
2023-02-17,1063
2023-02-18,813
2023-02-19,758
2023-02-20,1103
2023-02-21,1128
2023-02-22,1118
2023-02-23,1108
2023-02-24,1063
2023-02-25,814
2023-02-26,759
2023-02-27,1104
2023-02-28,1129
2023-03-01,1139
2023-03-02,1129
2023-03-03,1084
2023-03-04,834
2023-03-05,778
2023-03-06,1123
2023-03-07,1148
2023-03-08,1138
2023-03-09,1128
2023-03-10,1083
2023-03-11,833
2023-03-12,778
2023-03-13,1123
2023-03-14,1148
2023-03-15,1138
2023-03-16,1128
2023-03-17,1083
2023-03-18,833
2023-03-19,778
2023-03-20,1123
2023-03-21,1148
2023-03-22,1138
2023-03-23,1128
2023-03-24,1083
2023-03-25,833
2023-03-26,779
2023-03-27,1124
2023-03-28,1149
2023-03-29,1139
2023-03-30,1129
2023-03-31,1084
2023-04-01,844
2023-04-02,789
2023-04-03,1134
2023-04-04,1159
2023-04-05,1149
2023-04-06,1139
2023-04-07,1095
2023-04-08,845
2023-04-09,790
2023-04-10,1135
2023-04-11,1160
2023-04-12,1150
2023-04-13,1140
2023-04-14,1096
2023-04-15,846
2023-04-16,791
2023-04-17,1136
2023-04-18,1161
2023-04-19,1152
2023-04-20,1142
2023-04-21,1097
2023-04-22,847
2023-04-23,792
2023-04-24,1138
2023-04-25,1163
2023-04-26,1153
2023-04-27,1143
2023-04-28,1098
2023-04-29,848
2023-04-30,794
2023-05-01,1154
2023-05-02,1179
2023-05-03,1169
2023-05-04,1159
2023-05-05,1115
2023-05-06,865
2023-05-07,810
2023-05-08,1155
2023-05-09,1180
2023-05-10,1170
2023-05-11,1160
2023-05-12,1116
2023-05-13,866
2023-05-14,811
2023-05-15,1156
2023-05-16,1181
2023-05-17,1171
2023-05-18,1161
2023-05-19,1116
2023-05-20,866
2023-05-21,811
2023-05-22,1156
2023-05-23,1181
2023-05-24,1171
2023-05-25,1161
2023-05-26,1116
2023-05-27,866
2023-05-28,811
2023-05-29,896
2023-05-30,1180
2023-05-31,1170
2023-06-01,1175
2023-06-02,1130
2023-06-03,880
2023-06-04,824
2023-06-05,1169
2023-06-06,1194
2023-06-07,1183
2023-06-08,1173
2023-06-09,1127
2023-06-10,877
2023-06-11,822
2023-06-12,1166
2023-06-13,1191
2023-06-14,1180
2023-06-15,1170
2023-06-16,1124
2023-06-17,873
2023-06-18,818
2023-06-19,1162
2023-06-20,1186
2023-06-21,1176
2023-06-22,1165
2023-06-23,1119
2023-06-24,868
2023-06-25,812
2023-06-26,1157
2023-06-27,1181
2023-06-28,1170
2023-06-29,1159
2023-06-30,1113
2023-07-01,852
2023-07-02,796
2023-07-03,1140
2023-07-04,180
2023-07-05,1153
2023-07-06,1141
2023-07-07,1095
2023-07-08,844
2023-07-09,788
2023-07-10,1132
2023-07-11,1155
2023-07-12,1144
2023-07-13,1133
2023-07-14,1087
2023-07-15,835
2023-07-16,779
2023-07-17,1123
2023-07-18,1146
2023-07-19,1135
2023-07-20,1123
2023-07-21,1077
2023-07-22,826
2023-07-23,769
2023-07-24,1113
2023-07-25,1136
2023-07-26,1125
2023-07-27,1113
2023-07-28,1067
2023-07-29,815
2023-07-30,759
2023-07-31,1102
2023-08-01,1116
2023-08-02,1104
2023-08-03,1092
2023-08-04,1046
2023-08-05,794
2023-08-06,738
2023-08-07,1081
2023-08-08,1105
2023-08-09,1093
2023-08-10,1082
2023-08-11,1035
2023-08-12,784
2023-08-13,727
2023-08-14,1071
2023-08-15,1094
2023-08-16,1083
2023-08-17,1071
2023-08-18,1025
2023-08-19,773
2023-08-20,717
2023-08-21,1061
2023-08-22,1084
2023-08-23,1073
2023-08-24,1062
2023-08-25,1015
2023-08-26,764
2023-08-27,708
2023-08-28,1051
2023-08-29,1075
2023-08-30,1064
2023-08-31,1053
2023-09-01,992
2023-09-02,741
2023-09-03,685
2023-09-04,789
2023-09-05,1053
2023-09-06,1042
2023-09-07,1031
2023-09-08,985
2023-09-09,734
2023-09-10,678
2023-09-11,1022
2023-09-12,1047
2023-09-13,1036
2023-09-14,1025
2023-09-15,980
2023-09-16,729
2023-09-17,674
2023-09-18,1018
2023-09-19,1043
2023-09-20,1032
2023-09-21,1022
2023-09-22,976
2023-09-23,726
2023-09-24,671
2023-09-25,1016
2023-09-26,1041
2023-09-27,1030
2023-09-28,1020
2023-09-29,975
2023-09-30,725
2023-10-01,690
2023-10-02,1036
2023-10-03,1061
2023-10-04,1051
2023-10-05,1041
2023-10-06,996
2023-10-07,747
2023-10-08,692
2023-10-09,1038
2023-10-10,1063
2023-10-11,1054
2023-10-12,1044
2023-10-13,1000
2023-10-14,750
2023-10-15,696
2023-10-16,1042
2023-10-17,1068
2023-10-18,1058
2023-10-19,1049
2023-10-20,1005
2023-10-21,756
2023-10-22,702
2023-10-23,1048
2023-10-24,1074
2023-10-25,1065
2023-10-26,1056
2023-10-27,1012
2023-10-28,764
2023-10-29,710
2023-10-30,1056
2023-10-31,1082
2023-11-01,1124
2023-11-02,1115
2023-11-03,1071
2023-11-04,823
2023-11-05,769
2023-11-06,1116
2023-11-07,1142
2023-11-08,1134
2023-11-09,1125
2023-11-10,1082
2023-11-11,833
2023-11-12,780
2023-11-13,1126
2023-11-14,1153
2023-11-15,1145
2023-11-16,1136
2023-11-17,1093
2023-11-18,845
2023-11-19,791
2023-11-20,1138
2023-11-21,1165
2023-11-22,1156
2023-11-23,120
2023-11-24,1105
2023-11-25,856
2023-11-26,803
2023-11-27,1150
2023-11-28,1177
2023-11-29,1168
2023-11-30,1160
2023-12-01,1147
2023-12-02,898
2023-12-03,845
2023-12-04,1192
2023-12-05,1219
2023-12-06,1210
2023-12-07,1202
2023-12-08,1159
2023-12-09,910
2023-12-10,857
2023-12-11,1203
2023-12-12,1230
2023-12-13,1222
2023-12-14,1213
2023-12-15,1170
2023-12-16,921
2023-12-17,868
2023-12-18,1215
2023-12-19,1241
2023-12-20,1232
2023-12-21,1224
2023-12-22,1180
2023-12-23,932
2023-12-24,878
2023-12-25,0
2023-12-26,1251
2023-12-27,1242
2023-12-28,1234
2023-12-29,1190
2023-12-30,941
2023-12-31,887
2024-01-01,0
2024-01-02,1185
2024-01-03,1176
2024-01-04,1167
2024-01-05,1123
2024-01-06,874
2024-01-07,820
2024-01-08,1166
2024-01-09,1192
2024-01-10,1183
2024-01-11,1174
2024-01-12,1130
2024-01-13,881
2024-01-14,827
2024-01-15,1173
2024-01-16,1198
2024-01-17,1189
2024-01-18,1180
2024-01-19,1136
2024-01-20,886
2024-01-21,832
2024-01-22,1178
2024-01-23,1203
2024-01-24,1194
2024-01-25,1184
2024-01-26,1140
2024-01-27,890
2024-01-28,836
2024-01-29,1181
2024-01-30,1207
2024-01-31,1197
2024-02-01,1192
2024-02-02,1148
2024-02-03,898
2024-02-04,843
2024-02-05,1189
2024-02-06,1214
2024-02-07,1204
2024-02-08,1195
2024-02-09,1150
2024-02-10,900
2024-02-11,845
2024-02-12,1190
2024-02-13,1215
2024-02-14,1206
2024-02-15,1196
2024-02-16,1151
2024-02-17,901
2024-02-18,846
2024-02-19,1191
2024-02-20,1216
2024-02-21,1206
2024-02-22,1196
2024-02-23,1151
2024-02-24,901
2024-02-25,846
2024-02-26,1191
2024-02-27,1216
2024-02-28,1206
2024-02-29,1196
2024-03-01,1171
2024-03-02,921
2024-03-03,866
2024-03-04,1211
2024-03-05,1236
2024-03-06,1226
2024-03-07,1216
2024-03-08,1171
2024-03-09,921
2024-03-10,866
2024-03-11,1211
2024-03-12,1236
2024-03-13,1226
2024-03-14,1216
2024-03-15,1171
2024-03-16,921
2024-03-17,866
2024-03-18,1211
2024-03-19,1236
2024-03-20,1226
2024-03-21,1216
2024-03-22,1171
2024-03-23,921
2024-03-24,866
2024-03-25,1211
2024-03-26,1236
2024-03-27,1227
2024-03-28,1217
2024-03-29,1172
2024-03-30,922
2024-03-31,867
2024-04-01,1222
2024-04-02,1247
2024-04-03,1237
2024-04-04,1227
2024-04-05,1182
2024-04-06,932
2024-04-07,878
2024-04-08,1223
2024-04-09,1248
2024-04-10,1238
2024-04-11,1228
2024-04-12,1183
2024-04-13,933
2024-04-14,879
2024-04-15,1224
2024-04-16,1249
2024-04-17,1239
2024-04-18,1229
2024-04-19,1185
2024-04-20,935
2024-04-21,880
2024-04-22,1225
2024-04-23,1250
2024-04-24,1241
2024-04-25,1231
2024-04-26,1186
2024-04-27,936
2024-04-28,881
2024-04-29,1227
2024-04-30,1252
2024-05-01,1257
2024-05-02,1247
2024-05-03,1202
2024-05-04,952
2024-05-05,898
2024-05-06,1243
2024-05-07,1268
2024-05-08,1258
2024-05-09,1248
2024-05-10,1203
2024-05-11,953
2024-05-12,899
2024-05-13,1244
2024-05-14,1269
2024-05-15,1259
2024-05-16,1249
2024-05-17,1204
2024-05-18,954
2024-05-19,899
2024-05-20,1244
2024-05-21,1269
2024-05-22,1259
2024-05-23,1249
2024-05-24,1204
2024-05-25,954
2024-05-26,899
2024-05-27,984
2024-05-28,1268
2024-05-29,1258
2024-05-30,1248
2024-05-31,1203
2024-06-01,968
2024-06-02,912
2024-06-03,1257
2024-06-04,1282
2024-06-05,1271
2024-06-06,1261
2024-06-07,1216
2024-06-08,965
2024-06-09,910
2024-06-10,1254
2024-06-11,1279
2024-06-12,1268
2024-06-13,1258
2024-06-14,1212
2024-06-15,962
2024-06-16,906
2024-06-17,1251
2024-06-18,1275
2024-06-19,1264
2024-06-20,1253
2024-06-21,1208
2024-06-22,957
2024-06-23,901
2024-06-24,1245
2024-06-25,1269
2024-06-26,1259
2024-06-27,1248
2024-06-28,1202
2024-06-29,951
2024-06-30,895
2024-07-01,1229
2024-07-02,1253
2024-07-03,1242
2024-07-04,180
2024-07-05,1184
2024-07-06,933
2024-07-07,877
2024-07-08,1221
2024-07-09,1245
2024-07-10,1233
2024-07-11,1222
2024-07-12,1176
2024-07-13,924
2024-07-14,868
2024-07-15,1212
2024-07-16,1235
2024-07-17,1224
2024-07-18,1213
2024-07-19,1166
2024-07-20,915
2024-07-21,858
2024-07-22,1202
2024-07-23,1225
2024-07-24,1214
2024-07-25,1202
2024-07-26,1156
2024-07-27,904
2024-07-28,848
2024-07-29,1191
2024-07-30,1215
2024-07-31,1203
2024-08-01,1182
2024-08-02,1135
2024-08-03,884
2024-08-04,827
2024-08-05,1171
2024-08-06,1194
2024-08-07,1183
2024-08-08,1171
2024-08-09,1125
2024-08-10,873
2024-08-11,817
2024-08-12,1160
2024-08-13,1184
2024-08-14,1172
2024-08-15,1161
2024-08-16,1114
2024-08-17,863
2024-08-18,806
2024-08-19,1150
2024-08-20,1173
2024-08-21,1162
2024-08-22,1151
2024-08-23,1104
2024-08-24,853
2024-08-25,797
2024-08-26,1141
2024-08-27,1164
2024-08-28,1153
2024-08-29,1142
2024-08-30,1096
2024-08-31,845
2024-09-01,774
2024-09-02,878
2024-09-03,1141
2024-09-04,1130
2024-09-05,1120
2024-09-06,1074
2024-09-07,823
2024-09-08,767
2024-09-09,1111
2024-09-10,1135
2024-09-11,1124
2024-09-12,1114
2024-09-13,1068
2024-09-14,817
2024-09-15,762
2024-09-16,1106
2024-09-17,1131
2024-09-18,1120
2024-09-19,1110
2024-09-20,1065
2024-09-21,814
2024-09-22,759
2024-09-23,1104
2024-09-24,1129
2024-09-25,1118
2024-09-26,1108
2024-09-27,1063
2024-09-28,813
2024-09-29,758
2024-09-30,1103
2024-10-01,1148
2024-10-02,1139
2024-10-03,1129
2024-10-04,1084
2024-10-05,834
2024-10-06,780
2024-10-07,1125
2024-10-08,1150
2024-10-09,1141
2024-10-10,1131
2024-10-11,1087
2024-10-12,838
2024-10-13,783
2024-10-14,1129
2024-10-15,1155
2024-10-16,1145
2024-10-17,1136
2024-10-18,1092
2024-10-19,843
2024-10-20,789
2024-10-21,1135
2024-10-22,1161
2024-10-23,1152
2024-10-24,1143
2024-10-25,1099
2024-10-26,850
2024-10-27,796
2024-10-28,1143
2024-10-29,1169
2024-10-30,1160
2024-10-31,1152
2024-11-01,1158
2024-11-02,909
2024-11-03,856
2024-11-04,1202
2024-11-05,1228
2024-11-06,1220
2024-11-07,1211
2024-11-08,1168
2024-11-09,919
2024-11-10,866
2024-11-11,1213
2024-11-12,1239
2024-11-13,1231
2024-11-14,1222
2024-11-15,1179
2024-11-16,931
2024-11-17,877
2024-11-18,1224
2024-11-19,1251
2024-11-20,1242
2024-11-21,1234
2024-11-22,1191
2024-11-23,943
2024-11-24,889
2024-11-25,1236
2024-11-26,1263
2024-11-27,1254
2024-11-28,120
2024-11-29,1203
2024-11-30,955
2024-12-01,931
2024-12-02,1278
2024-12-03,1305
2024-12-04,1296
2024-12-05,1288
2024-12-06,1245
2024-12-07,996
2024-12-08,943
2024-12-09,1290
2024-12-10,1316
2024-12-11,1308
2024-12-12,1300
2024-12-13,1256
2024-12-14,1008
2024-12-15,954
2024-12-16,1301
2024-12-17,1327
2024-12-18,1319
2024-12-19,1310
2024-12-20,1267
2024-12-21,1018
2024-12-22,965
2024-12-23,1311
2024-12-24,1337
2024-12-25,0
2024-12-26,1320
2024-12-27,1276
2024-12-28,1028
2024-12-29,974
2024-12-30,1320
2024-12-31,1346
